CVE,In JSON,In Benchmark,JSON CWEs,Benchmark CWEs,Matched CWEs,Only in JSON,Only in Benchmark,Has Match,Exact Match,Precision,Recall,F1 Score
CVE-2020-0646,True,True,CWE-94;CWE-20,CWE-91;CWE-20,CWE-20,CWE-94,CWE-91,True,False,0.5,0.5,0.5
CVE-2020-0674,True,True,CWE-416;CWE-787,CWE-416,CWE-416,CWE-787,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-0688,True,True,CWE-787;CWE-502,CWE-287,,CWE-787;CWE-502,CWE-287,False,False,0.0,0.0,0
CVE-2020-0787,True,True,CWE-59,CWE-59;CWE-269,CWE-59,,CWE-269,True,False,1.0,0.5,0.6666666666666666
CVE-2020-0796,True,True,CWE-119,CWE-119,CWE-119,,,True,True,1.0,1.0,1.0
CVE-2020-0878,True,True,CWE-787;CWE-119,CWE-787,CWE-787,CWE-119,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-0938,True,True,CWE-787;CWE-119,CWE-119,CWE-119,CWE-787,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-0968,True,True,CWE-787,CWE-787,CWE-787,,,True,True,1.0,1.0,1.0
CVE-2020-0986,True,True,CWE-787,CWE-787,CWE-787,,,True,True,1.0,1.0,1.0
CVE-2020-10001,True,True,CWE-125;CWE-20,CWE-20,CWE-20,CWE-125,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-10005,True,True,CWE-787;CWE-400,CWE-400;CWE-20,CWE-400,CWE-787,CWE-20,True,False,0.5,0.5,0.5
CVE-2020-10064,True,True,CWE-1284;CWE-119,CWE-119;CWE-20,CWE-119,CWE-1284,CWE-20,True,False,0.5,0.5,0.5
CVE-2020-10065,True,True,CWE-125;CWE-787;CWE-119,CWE-787;CWE-119,CWE-787;CWE-119,CWE-125,,True,False,0.6666666666666666,1.0,0.8
CVE-2020-10087,True,False,CWE-200,,,CWE-200,,False,False,0.0,0,0
CVE-2020-10145,True,True,CWE-732;CWE-276,CWE-276,CWE-276,CWE-732,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-10148,True,True,CWE-306;CWE-287,CWE-306,CWE-306,CWE-287,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-10181,True,True,CWE-269,CWE-352,,CWE-269,CWE-352,False,False,0.0,0.0,0
CVE-2020-10189,True,True,CWE-668;CWE-502,CWE-502,CWE-502,CWE-668,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-10199,True,True,CWE-917,CWE-917,CWE-917,,,True,True,1.0,1.0,1.0
CVE-2020-1020,True,True,CWE-787,CWE-787;CWE-119,CWE-787,,CWE-119,True,False,1.0,0.5,0.6666666666666666
CVE-2020-10221,True,True,CWE-77;CWE-78,CWE-78,CWE-78,CWE-77,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-1027,True,True,CWE-269,CWE-119,,CWE-269,CWE-119,False,False,0.0,0.0,0
CVE-2020-10279,True,True,CWE-362;CWE-668;CWE-1188,CWE-362;CWE-1188,CWE-362;CWE-1188,CWE-668,,True,False,0.6666666666666666,1.0,0.8
CVE-2020-1040,True,True,CWE-1284;CWE-20,CWE-20,CWE-20,CWE-1284,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-1054,True,True,CWE-416;CWE-119,CWE-787,,CWE-416;CWE-119,CWE-787,False,False,0.0,0.0,0
CVE-2020-10580,True,True,CWE-94;CWE-78,CWE-77,,CWE-94;CWE-78,CWE-77,False,False,0.0,0.0,0
CVE-2020-10604,True,False,CWE-755,,,CWE-755,,False,False,0.0,0,0
CVE-2020-10627,True,False,CWE-306;CWE-639,,,CWE-306;CWE-639,,False,False,0.0,0,0
CVE-2020-10666,True,True,CWE-94,CWE-77,,CWE-94,CWE-77,False,False,0.0,0.0,0
CVE-2020-10686,True,False,CWE-863;CWE-639,,,CWE-863;CWE-639,,False,False,0.0,0,0
CVE-2020-10697,True,False,CWE-404,,,CWE-404,,False,False,0.0,0,0
CVE-2020-10698,True,False,CWE-863;CWE-200,,,CWE-863;CWE-200,,False,False,0.0,0,0
CVE-2020-10701,True,True,CWE-862;CWE-400,CWE-862,CWE-862,CWE-400,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-10709,True,True,CWE-613;CWE-287,CWE-613;CWE-287,CWE-613;CWE-287,,,True,True,1.0,1.0,1.0
CVE-2020-10716,True,False,CWE-863;CWE-200,,,CWE-863;CWE-200,,False,False,0.0,0,0
CVE-2020-10736,True,False,CWE-863;CWE-639,,,CWE-863;CWE-639,,False,False,0.0,0,0
CVE-2020-10743,True,True,CWE-1021,CWE-1021,CWE-1021,,,True,True,1.0,1.0,1.0
CVE-2020-10744,True,True,CWE-362;CWE-668,CWE-362,CWE-362,CWE-668,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-10919,True,True,CWE-522;CWE-327,CWE-798,,CWE-522;CWE-327,CWE-798,False,False,0.0,0.0,0
CVE-2020-10930,True,False,CWE-668,,,CWE-668,,False,False,0.0,0,0
CVE-2020-10966,True,False,CWE-79;CWE-290;CWE-74,,,CWE-79;CWE-290;CWE-74,,False,False,0.0,0,0
CVE-2020-10987,True,True,CWE-78,CWE-78,CWE-78,,,True,True,1.0,1.0,1.0
CVE-2020-11159,True,True,CWE-119,CWE-119,CWE-119,,,True,True,1.0,1.0,1.0
CVE-2020-11165,True,True,CWE-120;CWE-119,CWE-787,,CWE-120;CWE-119,CWE-787,False,False,0.0,0.0,0
CVE-2020-11176,True,True,CWE-787,CWE-119,,CWE-787,CWE-119,False,False,0.0,0.0,0
CVE-2020-11182,True,True,CWE-1284;CWE-787,CWE-119,,CWE-1284;CWE-787,CWE-119,False,False,0.0,0.0,0
CVE-2020-11210,True,True,CWE-787;CWE-119,CWE-787,CWE-787,CWE-119,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-11231,True,True,CWE-362;CWE-416;CWE-415,CWE-119;CWE-415,CWE-415,CWE-362;CWE-416,CWE-119,True,False,0.3333333333333333,0.5,0.4
CVE-2020-11233,True,True,CWE-362;CWE-367,CWE-367,CWE-367,CWE-362,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-11236,True,True,CWE-787,CWE-787,CWE-787,,,True,True,1.0,1.0,1.0
CVE-2020-11238,True,True,CWE-1284;CWE-119,CWE-119;CWE-20,CWE-119,CWE-1284,CWE-20,True,False,0.5,0.5,0.5
CVE-2020-11240,True,True,CWE-787;CWE-131,CWE-787;CWE-131,CWE-787;CWE-131,,,True,True,1.0,1.0,1.0
CVE-2020-11243,True,True,CWE-755,CWE-755,CWE-755,,,True,True,1.0,1.0,1.0
CVE-2020-11254,True,True,CWE-476;CWE-824;CWE-787,CWE-476;CWE-787,CWE-476;CWE-787,CWE-824,,True,False,0.6666666666666666,1.0,0.8
CVE-2020-11256,True,True,CWE-787,CWE-787;CWE-20,CWE-787,,CWE-20,True,False,1.0,0.5,0.6666666666666666
CVE-2020-11257,True,True,CWE-787;CWE-119,CWE-787;CWE-20,CWE-787,CWE-119,CWE-20,True,False,0.5,0.5,0.5
CVE-2020-11258,True,True,CWE-787;CWE-119,CWE-787;CWE-20,CWE-787,CWE-119,CWE-20,True,False,0.5,0.5,0.5
CVE-2020-11259,True,True,CWE-787;CWE-119,CWE-787;CWE-20,CWE-787,CWE-119,CWE-20,True,False,0.5,0.5,0.5
CVE-2020-11261,True,True,CWE-787;CWE-131,CWE-787;CWE-20,CWE-787,CWE-131,CWE-20,True,False,0.5,0.5,0.5
CVE-2020-11264,True,True,CWE-306,CWE-287,,CWE-306,CWE-287,False,False,0.0,0.0,0
CVE-2020-11267,True,True,CWE-787,CWE-119,,CWE-787,CWE-119,False,False,0.0,0.0,0
CVE-2020-11271,True,True,CWE-362;CWE-125,CWE-362;CWE-129,CWE-362,CWE-125,CWE-129,True,False,0.5,0.5,0.5
CVE-2020-11273,True,True,CWE-476,CWE-476,CWE-476,,,True,True,1.0,1.0,1.0
CVE-2020-11279,True,True,CWE-787,CWE-190;CWE-787,CWE-787,,CWE-190,True,False,1.0,0.5,0.6666666666666666
CVE-2020-11284,True,True,CWE-667,CWE-667;CWE-787,CWE-667,,CWE-787,True,False,1.0,0.5,0.6666666666666666
CVE-2020-11285,True,True,CWE-119,CWE-119,CWE-119,,,True,True,1.0,1.0,1.0
CVE-2020-11288,True,True,CWE-787;CWE-20,CWE-787;CWE-20,CWE-787;CWE-20,,,True,True,1.0,1.0,1.0
CVE-2020-11289,True,True,CWE-125;CWE-787;CWE-20,CWE-787;CWE-20,CWE-787;CWE-20,CWE-125,,True,False,0.6666666666666666,1.0,0.8
CVE-2020-11294,True,True,CWE-1284;CWE-787,CWE-787;CWE-129,CWE-787,CWE-1284,CWE-129,True,False,0.5,0.5,0.5
CVE-2020-11301,True,True,CWE-287,CWE-287,CWE-287,,,True,True,1.0,1.0,1.0
CVE-2020-11469,True,True,CWE-668;CWE-59,CWE-552,,CWE-668;CWE-59,CWE-552,False,False,0.0,0.0,0
CVE-2020-1147,True,True,CWE-94;CWE-20,CWE-668;CWE-502,,CWE-94;CWE-20,CWE-668;CWE-502,False,False,0.0,0.0,0
CVE-2020-11492,True,True,CWE-668;CWE-269,CWE-362,,CWE-668;CWE-269,CWE-362,False,False,0.0,0.0,0
CVE-2020-11511,True,True,CWE-863;CWE-425;CWE-862,CWE-862,CWE-862,CWE-863;CWE-425,,True,False,0.3333333333333333,1.0,0.5
CVE-2020-11547,True,True,CWE-200,CWE-306,,CWE-200,CWE-306,False,False,0.0,0.0,0
CVE-2020-11628,True,True,CWE-863,CWE-863,CWE-863,,,True,True,1.0,1.0,1.0
CVE-2020-11633,True,True,CWE-119,CWE-119,CWE-119,,,True,True,1.0,1.0,1.0
CVE-2020-11651,True,False,CWE-269,,,CWE-269,,False,False,0.0,0,0
CVE-2020-11652,True,True,CWE-22;CWE-668,CWE-22,CWE-22,CWE-668,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-11738,True,True,CWE-22,CWE-22,CWE-22,,,True,True,1.0,1.0,1.0
CVE-2020-11753,True,False,CWE-269,,,CWE-269,,False,False,0.0,0,0
CVE-2020-11875,True,True,CWE-755,CWE-755,CWE-755,,,True,True,1.0,1.0,1.0
CVE-2020-11899,True,True,CWE-125;CWE-119,CWE-125,CWE-125,CWE-119,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-11922,True,True,CWE-200;CWE-319,CWE-200,CWE-200,CWE-319,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-11946,True,True,CWE-306;CWE-287,CWE-306,CWE-306,CWE-287,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-11967,True,True,CWE-863;CWE-306,CWE-862,,CWE-863;CWE-306,CWE-862,False,False,0.0,0.0,0
CVE-2020-11978,True,True,CWE-94;CWE-78,CWE-78,CWE-78,CWE-94,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-12028,True,True,CWE-863;CWE-306,CWE-306,CWE-306,CWE-863,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-12053,True,True,CWE-295;CWE-319,CWE-295,CWE-295,CWE-319,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-12061,True,True,CWE-522;CWE-319;CWE-798,CWE-522,CWE-522,CWE-319;CWE-798,,True,False,0.3333333333333333,1.0,0.5
CVE-2020-12112,True,True,CWE-22;CWE-668;CWE-829,CWE-22,CWE-22,CWE-668;CWE-829,,True,False,0.3333333333333333,1.0,0.5
CVE-2020-12271,True,True,CWE-89;CWE-78,CWE-89,CWE-89,CWE-78,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-12291,True,True,CWE-770;CWE-400,CWE-400,CWE-400,CWE-770,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-12296,True,True,CWE-770;CWE-400,CWE-400,CWE-400,CWE-770,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-12391,True,True,CWE-863,CWE-863,CWE-863,,,True,True,1.0,1.0,1.0
CVE-2020-12655,True,True,CWE-835,CWE-835,CWE-835,,,True,True,1.0,1.0,1.0
CVE-2020-12730,True,True,CWE-319,CWE-319,CWE-319,,,True,True,1.0,1.0,1.0
CVE-2020-12732,True,True,CWE-1188;CWE-287;CWE-798,CWE-1188,CWE-1188,CWE-287;CWE-798,,True,False,0.3333333333333333,1.0,0.5
CVE-2020-12733,True,True,CWE-798,CWE-287,,CWE-798,CWE-287,False,False,0.0,0.0,0
CVE-2020-12734,True,True,CWE-306;CWE-1188,CWE-862,,CWE-306;CWE-1188,CWE-862,False,False,0.0,0.0,0
CVE-2020-12775,True,True,CWE-88;CWE-77;CWE-78,CWE-78,CWE-78,CWE-88;CWE-77,,True,False,0.3333333333333333,1.0,0.5
CVE-2020-12812,True,True,CWE-287;CWE-178,CWE-287;CWE-178,CWE-287;CWE-178,,,True,True,1.0,1.0,1.0
CVE-2020-12850,True,True,CWE-863,CWE-269,,CWE-863,CWE-269,False,False,0.0,0.0,0
CVE-2020-12888,True,True,CWE-362;CWE-787,CWE-755,,CWE-362;CWE-787,CWE-755,False,False,0.0,0.0,0
CVE-2020-12893,True,True,CWE-119,CWE-119,CWE-119,,,True,True,1.0,1.0,1.0
CVE-2020-12895,True,True,CWE-787;CWE-119;CWE-131,CWE-119,CWE-119,CWE-787;CWE-131,,True,False,0.3333333333333333,1.0,0.5
CVE-2020-12898,True,True,CWE-119,CWE-119,CWE-119,,,True,True,1.0,1.0,1.0
CVE-2020-12946,True,True,CWE-1284;CWE-20,CWE-20,CWE-20,CWE-1284,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-12967,True,False,CWE-1236,,,CWE-1236,,False,False,0.0,0,0
CVE-2020-12980,True,True,CWE-125;CWE-787,CWE-125;CWE-787,CWE-125;CWE-787,,,True,True,1.0,1.0,1.0
CVE-2020-12981,True,True,CWE-20,CWE-787;CWE-20,CWE-20,,CWE-787,True,False,1.0,0.5,0.6666666666666666
CVE-2020-12985,True,True,CWE-476;CWE-787;CWE-119;CWE-20,CWE-119;CWE-20,CWE-119;CWE-20,CWE-476;CWE-787,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-13173,True,False,CWE-732,,,CWE-732,,False,False,0.0,0,0
CVE-2020-13263,True,True,CWE-863;CWE-862;CWE-639,CWE-863,CWE-863,CWE-639;CWE-862,,True,False,0.3333333333333333,1.0,0.5
CVE-2020-13270,True,True,CWE-862,CWE-862,CWE-862,,,True,True,1.0,1.0,1.0
CVE-2020-13410,True,False,CWE-1284,,,CWE-1284,,False,False,0.0,0,0
CVE-2020-13421,True,False,CWE-863,,,CWE-863,,False,False,0.0,0,0
CVE-2020-13422,True,True,CWE-863;CWE-306;CWE-862,CWE-862,CWE-862,CWE-863;CWE-306,,True,False,0.3333333333333333,1.0,0.5
CVE-2020-13534,True,True,CWE-732;CWE-269;CWE-276,CWE-276,CWE-276,CWE-732;CWE-269,,True,False,0.3333333333333333,1.0,0.5
CVE-2020-13587,True,True,CWE-352;CWE-89,CWE-89,CWE-89,CWE-352,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-13588,True,True,CWE-352;CWE-89,CWE-89,CWE-89,CWE-352,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-13589,True,True,CWE-352;CWE-89,CWE-89,CWE-89,CWE-352,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-13590,True,True,CWE-352;CWE-89,CWE-89,CWE-89,CWE-352,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-13591,True,True,CWE-352;CWE-89,CWE-89,CWE-89,CWE-352,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-13592,True,True,CWE-352;CWE-89,CWE-89,CWE-89,CWE-352,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-13597,False,True,,CWE-200,,,CWE-200,False,False,0,0.0,0
CVE-2020-13598,True,True,CWE-120;CWE-119;CWE-787,CWE-119,CWE-119,CWE-120;CWE-787,,True,False,0.3333333333333333,1.0,0.5
CVE-2020-13600,True,True,CWE-119,CWE-119,CWE-119,,,True,True,1.0,1.0,1.0
CVE-2020-13671,True,True,CWE-345;CWE-434,CWE-434,CWE-434,CWE-345,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-13673,True,True,CWE-79;CWE-352,CWE-79,CWE-79,CWE-352,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-13676,True,True,CWE-863;CWE-200,CWE-863,CWE-863,CWE-200,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-13677,True,False,CWE-863;CWE-639,,,CWE-863;CWE-639,,False,False,0.0,0,0
CVE-2020-1380,True,True,CWE-787,CWE-787,CWE-787,,,True,True,1.0,1.0,1.0
CVE-2020-13882,True,True,CWE-863;CWE-367,CWE-367,CWE-367,CWE-863,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-13927,True,True,CWE-306;CWE-1188,CWE-306;CWE-1188,CWE-306;CWE-1188,,,True,True,1.0,1.0,1.0
CVE-2020-13938,True,True,CWE-269;CWE-755,CWE-862,,CWE-269;CWE-755,CWE-862,False,False,0.0,0.0,0
CVE-2020-13963,True,True,CWE-798,CWE-798,CWE-798,,,True,True,1.0,1.0,1.0
CVE-2020-13995,True,True,CWE-787;CWE-120,CWE-787,CWE-787,CWE-120,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-14099,True,True,CWE-798,CWE-798,CWE-798,,,True,True,1.0,1.0,1.0
CVE-2020-14107,True,True,CWE-119,CWE-119,CWE-119,,,True,True,1.0,1.0,1.0
CVE-2020-14109,True,True,CWE-77;CWE-78,CWE-77,CWE-77,CWE-78,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-14110,True,True,CWE-425;CWE-200,CWE-862,,CWE-425;CWE-200,CWE-862,False,False,0.0,0.0,0
CVE-2020-14111,True,True,CWE-20;CWE-78,CWE-77,,CWE-78;CWE-20,CWE-77,False,False,0.0,0.0,0
CVE-2020-14115,True,True,CWE-20;CWE-78,CWE-77,,CWE-78;CWE-20,CWE-77,False,False,0.0,0.0,0
CVE-2020-14119,True,True,CWE-78,CWE-77,,CWE-78,CWE-77,False,False,0.0,0.0,0
CVE-2020-14121,True,True,CWE-862,CWE-863,,CWE-862,CWE-863,False,False,0.0,0.0,0
CVE-2020-14123,True,True,CWE-415,CWE-415,CWE-415,,,True,True,1.0,1.0,1.0
CVE-2020-14263,True,True,CWE-327,CWE-732,,CWE-327,CWE-732,False,False,0.0,0.0,0
CVE-2020-14304,True,True,CWE-908;CWE-459,CWE-908;CWE-755,CWE-908,CWE-459,CWE-755,True,False,0.5,0.5,0.5
CVE-2020-14312,True,False,CWE-668,,,CWE-668,,False,False,0.0,0,0
CVE-2020-14326,True,True,CWE-400;CWE-407,CWE-400,CWE-400,CWE-407,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-14329,True,True,CWE-863;CWE-200,CWE-200,CWE-200,CWE-863,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-14335,True,True,CWE-732;CWE-200,CWE-732,CWE-732,CWE-200,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-14340,True,True,CWE-404;CWE-772,CWE-400,,CWE-404;CWE-772,CWE-400,False,False,0.0,0.0,0
CVE-2020-14344,True,True,CWE-190;CWE-119,CWE-190;CWE-119,CWE-190;CWE-119,,,True,True,1.0,1.0,1.0
CVE-2020-14354,True,True,CWE-416;CWE-415,CWE-416;CWE-415,CWE-416;CWE-415,,,True,True,1.0,1.0,1.0
CVE-2020-14371,True,True,CWE-522;CWE-200,CWE-200,CWE-200,CWE-522,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-14380,True,True,CWE-639;CWE-287,CWE-287,CWE-287,CWE-639,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-14388,True,False,CWE-863;CWE-639,,,CWE-863;CWE-639,,False,False,0.0,0,0
CVE-2020-14504,True,True,CWE-306;CWE-287,CWE-287,CWE-287,CWE-306,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-14516,True,True,CWE-916;CWE-287;CWE-327,CWE-916,CWE-916,CWE-287;CWE-327,,True,False,0.3333333333333333,1.0,0.5
CVE-2020-1464,True,True,CWE-347,CWE-347,CWE-347,,,True,True,1.0,1.0,1.0
CVE-2020-1472,True,True,CWE-287;CWE-330;CWE-319,CWE-330,CWE-330,CWE-287;CWE-319,,True,False,0.3333333333333333,1.0,0.5
CVE-2020-14864,True,True,CWE-306;CWE-200,CWE-22,,CWE-306;CWE-200,CWE-22,False,False,0.0,0.0,0
CVE-2020-14871,True,True,CWE-120;CWE-119,CWE-119,CWE-119,CWE-120,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-14882,True,True,CWE-306,CWE-22,,CWE-306,CWE-22,False,False,0.0,0.0,0
CVE-2020-14883,True,True,CWE-330;CWE-319;CWE-203;CWE-345;CWE-706;CWE-327;CWE-917;CWE-287;CWE-22;CWE-611;CWE-502,CWE-22,CWE-22,CWE-330;CWE-319;CWE-203;CWE-345;CWE-706;CWE-327;CWE-917;CWE-287;CWE-611;CWE-502,,True,False,0.09090909090909091,1.0,0.16666666666666669
CVE-2020-15077,True,True,CWE-306,CWE-287,,CWE-306,CWE-287,False,False,0.0,0.0,0
CVE-2020-15078,True,True,CWE-306;CWE-287,CWE-306,CWE-306,CWE-287,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-15084,True,True,CWE-863;CWE-347;CWE-327,CWE-863,CWE-863,CWE-347;CWE-327,,True,False,0.3333333333333333,1.0,0.5
CVE-2020-15087,True,False,CWE-863;CWE-269,,,CWE-863;CWE-269,,False,False,0.0,0,0
CVE-2020-15117,True,True,CWE-190;CWE-770;CWE-1284,CWE-754,,CWE-190;CWE-770;CWE-1284,CWE-754,False,False,0.0,0.0,0
CVE-2020-15126,True,True,CWE-863;CWE-639,CWE-863,CWE-863,CWE-639,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-15128,True,True,CWE-565;CWE-327,CWE-327,CWE-327,CWE-565,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-15166,True,True,CWE-770;CWE-400,CWE-400,CWE-400,CWE-770,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-15180,True,True,CWE-20;CWE-78,CWE-77,,CWE-78;CWE-20,CWE-77,False,False,0.0,0.0,0
CVE-2020-15185,True,True,CWE-770;CWE-74,CWE-74,CWE-74,CWE-770,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-15223,True,True,CWE-252;CWE-754,CWE-754,CWE-754,CWE-252,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-15254,True,True,CWE-416;CWE-131;CWE-401,CWE-401,CWE-401,CWE-416;CWE-131,,True,False,0.3333333333333333,1.0,0.5
CVE-2020-15279,True,False,CWE-732;CWE-269,,,CWE-732;CWE-269,,False,False,0.0,0,0
CVE-2020-15360,True,True,CWE-269;CWE-755,CWE-862,,CWE-269;CWE-755,CWE-862,False,False,0.0,0.0,0
CVE-2020-15381,True,True,CWE-287;CWE-319,CWE-522,,CWE-287;CWE-319,CWE-522,False,False,0.0,0.0,0
CVE-2020-15397,True,True,CWE-668;CWE-427,CWE-732,,CWE-668;CWE-427,CWE-732,False,False,0.0,0.0,0
CVE-2020-15505,True,True,CWE-22;CWE-502,CWE-706,,CWE-22;CWE-502,CWE-706,False,False,0.0,0.0,0
CVE-2020-15566,True,True,CWE-770;CWE-401;CWE-400;CWE-754,CWE-754,CWE-754,CWE-770;CWE-400;CWE-401,,True,False,0.25,1.0,0.4
CVE-2020-15591,True,True,CWE-94;CWE-78,CWE-94,CWE-94,CWE-78,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-15663,True,True,CWE-269;CWE-427,CWE-427,CWE-427,CWE-269,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-15701,True,False,CWE-755;CWE-754,,,CWE-755;CWE-754,,False,False,0.0,0,0
CVE-2020-15702,True,True,CWE-269;CWE-367,CWE-367,CWE-367,CWE-269,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-15744,True,True,CWE-119,CWE-119,CWE-119,,,True,True,1.0,1.0,1.0
CVE-2020-15776,True,True,CWE-352;CWE-732,CWE-732,CWE-732,CWE-352,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-15782,True,True,CWE-787;CWE-119,CWE-119,CWE-119,CWE-787,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-15824,True,True,CWE-668;CWE-732;CWE-276,CWE-668,CWE-668,CWE-732;CWE-276,,True,False,0.3333333333333333,1.0,0.5
CVE-2020-15935,True,True,CWE-311;CWE-312,CWE-312,CWE-312,CWE-311,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-15936,True,True,CWE-200;CWE-20,CWE-20,CWE-20,CWE-200,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-15939,True,False,CWE-639,,,CWE-639,,False,False,0.0,0,0
CVE-2020-15942,True,True,CWE-522;CWE-200,CWE-522,CWE-522,CWE-200,,True,False,0.5,1.0,0.6666666666666666
CVE-2020-15955,True,True,CWE-319;CWE-74,CWE-77,,CWE-319;CWE-74,CWE-77,False,False,0.0,0.0,0
CVE-2020-15999,True,True,CWE-190;CWE-787;CWE-119,CWE-119,CWE-119,CWE-190;CWE-787,,True,False,0.3333333333333333,1.0,0.5
